"","Name","Date","Platform","Weekday","Time.of.Day.Posted","Post.Category","Post.Image.Content","Likes","Like.Follower.Ratio","Comments","Reshares","Caption.Word.Count","Num.Hashtags","Hashtag.1","Hashtag.2","Hashtag.3","Hashtag.4","Hashtag.5","Hashtag.6","Hashtag.7","Hashtag.8","Links","Caption.Trigger.Words..From.Text.Analysis.","Caption","Sentiment.0.3.","Interactive.","Humor.","Personal.Touch.","Sentiment2","Interactive2","Humor2","Personal.Touch2","ranks","success","Sentiment","Interactive","Personal.Touch","Humor"
"1","Community Evaluation Solutions","","Linkedin","","","Information","People",2,0.00269179004,0,0,12,2,"#equityandinclusion","#stem","","","","","","","Y",NA,"Matt Feldmann, Ph.D. Know you agree, #equityandinclusion is important in #stem.",3,0,0,0,3,0,0,0,12,0,3,"0",0,0
"2","Community Evaluation Solutions","","Linkedin","","","Personal","Miscellaneous",10,0.0134589502,0,0,22,1,"#pieday","","","","","","","","Y",NA,"In honor of pie day. And yes, I did make that Christini Tosi's Milk Bar Pie. https://lnkd.in/dMY_rz8Z #pieday",3,1,1,1,3,1,1,1,2,1,3,"2",2,2
"3","Community Evaluation Solutions","","Linkedin","","","Promotion","Self",2,0.00269179004,0,0,25,2,"#neweval","#consultants","","","","","","","Y",NA,"Hi everyone #neweval #consultants, its time for office hours! I am in the hotseat this Friday 11 AM EST. Registration required! https://lnkd.in/dVuTpjEb",2,1,0,1,2,1,0,1,12,0,2,"2",2,0
"4","Community Evaluation Solutions","","Linkedin","","","Promotion","Self",7,0.009421265141,0,0,7,6,"#community","#evaluation","#nonprofits","#foundations","#systemschange","#equity","","","Y",NA,"#community #evaluation #nonprofits #foundations #systemschange #equity",3,0,0,0,2,0,0,0,5,1,2.5,"0",0,0
"5","Community Evaluation Solutions","","Linkedin","","","Information","None",11,0.01480484522,0,0,46,5,"#evaluation","#consultants","#strategy","#career","#business","","","","N",NA,"Today included Office Hours for new/emerging #evaluation #consultants, speaking with the practice council for SCRA of the APA about my career as a community psychologist and evaluator, and a 2-hour strategy session with my business coach Tracey Snoyer. Bring on 2022! #strategy #career #business",2,0,0,0,2,0,0,1,1,1,2,"0",1,0
"6","Community Evaluation Solutions","","Linkedin","","","Information","None",10,0.0134589502,2,1,33,3,"#nonprofits","#foundations","#community","","","","","","N",NA,"Supporting #nonprofits, #foundations and #community coalitions seeking to change communities for the better is my calling. Humbled to announce I will support L'Arche USA in designing an evaluation that respects their culture.",3,0,0,0,3,0,0,1,2,1,3,"0",1,0
"7","Community Evaluation Solutions","","Linkedin","","","Promotion","Self",0,0,0,0,43,4,"#nonprofits","#foundations","#coalition","#systemschange","","","","","Y",NA,"Do you want to fish people out of the river or stop them from falling in? If it’s the latter, join me in my free mini-course, Using Data to Help Tell Your Story. https://bit.ly/3xwfgs1 #nonprofits #foundations #coalition #systemschange",3,1,0,0,3,1,0,1,15,0,3,"2",1,0
"8","Community Evaluation Solutions","","Linkedin","","","Personal","Miscellaneous",3,0.004037685061,1,1,16,0,"","","","","","","","","N",NA,"When it takes 4 hours to create 2 minutes of content for my new mini-course................",2,0,1,0,2,0,0,1,11,0,2,"0",1,1
"9","Community Evaluation Solutions","","Linkedin","","","Information","People",2,0.00269179004,1,0,12,0,"","","","","","","","","Y",NA,"Thanks for continuing to shine a light on this health disparity @HealthcareGeorgiaFoundation.",3,0,0,0,2,0,0,1,12,0,2.5,"0",1,0
"10","Community Evaluation Solutions","","Linkedin","","","Promotion","Words",5,0.006729475101,1,2,41,2,"#votingrights","#community","","","","","","","Y",NA,"Nearly every state has enacted some kind of voting legislation since the 2020 election. In this episode of Community Possibilities I speak with Evan Malbrough about what is happening in Georgia and the work of young #votingrights advocates like himself. #community",3,0,0,0,3,0,0,1,7,0,3,"0",1,0
