,name,text,hashtags,likes,comments
0,Viable Insights,"
 Have you read the VIRB blog series? Phil has been doing an awesome job writing about research ethics, and you can find it all right on our blog page. https://lnkd.in/gHc6DqY4Don’t forget to scroll through the VIRB page on our website if you haven’t already - especially if you have a project coming up that requires approval from an Institutional Review Board. By doing so, you can ensure that your research procedures prioritize the well-being of individuals that participate. Plus, all our IRB reviews are conducted at an accessible price point. Not sure if you need an IRB review? Let's chat.
",0,1,0
1,Viable Insights,"
 We’re here to support your grant-writing efforts. We want to see your impactful work move forward, and we know a big part of that is identifying and winning funds to start or continue your initiative. Evaluation plan development is often where we shine in the grant writing process. We can help you set objectives, identify ways to measure your impact, and  establish an implementation plan for your goals  — all of these elements increase the competitiveness of your application or proposal. Interested in upping your grant or funding game? Let’s chat. 
",0,1,0
2,Viable Insights,"
 If you are ready to use data in your day-to-day work, but don't quite have the infrastructure or organizational buy-in to make it happen, we can help!We will work with you to develop processes and even databases to help your team share and ultimately use data more effectively in your work.
",0,1,0
3,Viable Insights,"
 Our Data Analyst On-Demand program isn’t new, however, we have come up with a new way of describing this service to our partners. Typically, projects (and ultimately their budgets) are strictly aligned a pre-determined scope of work. The beauty of a buckets-of-hours🪣 approach is that you don’t necessarily need to spell out every little detail on the front end. Instead, you can decide to dedicate X hours this week/month/year to your evaluation or org development work, and then we can work with you to allocate/prioritize those hours in real-time. This enables your organization be a bit more agile, while also increasing your capacity to engage in important evaluation and development work. Sound like something you would be interested in? Let’s chat!
",0,1,0
4,Viable Insights,"
 Nothing makes us feel better and more energized for this work than hearing the stories of our partners!
",0,2,0
5,Viable Insights,"
 We see you and we appreciate you for all of your hard work.Happy Labor Day!
",0,2,0
6,Viable Insights,"
 You can read all about incentivizing participation in research in part 3 of the VIRB blog series today!https://lnkd.in/gyuk9kan
",0,3,0
7,Viable Insights,"
 For many organizations, data management takes place in spreadsheets or online survey platforms. This, however, isn’t always the optimal way to organize and maintain data – especially when you are talking about large amounts of data or data that is being used by multiple departments or even organizations. In those instances, having an optimized database can be a game changer. Viable Insights has helped several organizations enhance their data capacity, by developing intuitive databases from the ground up. These enable organizations to  house, share, and ultimately use their data more effectively.Interested in learning what this process might look like? Check out the following case study.https://lnkd.in/gKpwcZmm
",0,1,0
8,Viable Insights,"
 Although Viable Insights is a Tucson-based organization, our work extends far beyond the boarders of Arizona. We have effectively partnered with organizations across the U.S., and are confident we can help your team regardless of where you are geographically.🌎Let's set up a time to talk about how our teams can work together.
",0,4,0
9,Viable Insights,"
 Part 3 of the VIRB blog series, ""Should you Incentivize Participation in Research?"" is out! https://lnkd.in/gyuk9kan
",0,1,0
10,Viable Insights,"
 #Evaluation is a powerful tool to not only highlight the things you are doing well, but also identify barriers and areas of opportunity/improvement.We can guide you through this process, and help convert those areas of opportunity into strengths.Let's get started!
",['Evaluation'],1,0
11,Viable Insights,"
 Your people are the most important aspect of your organization. They put ideas into action, bring your services and programs to life, and create your organization’s unique culture. 🙌The structure of your organization is integral to the effectiveness of your people and the quality of your work. Through leadership best practices, psychology-based principles, and interpersonal understanding, we’ll help you make the personnel changes necessary to elevate your organization and empower your people. Reach out today if you are interested in learning how we can help your organization level-up.
",0,1,0
12,Viable Insights,"
 Did you Viable Insights regularly collaborates with our non-profit partners to help them pursue funding opportunities? Now you do! Our team can help develop many of the common components of successful grant applications, including: logic models and comprehensive evaluation plans. If your organization is interested in grant-seeking, let's talk.
",0,3,0
13,Viable Insights,"
 Join Deven Wisner for a discussion on current trends in #Dataviz  on Thurs. Aug 11th. Mark your calendars and register here: https://lnkd.in/g7sPfUTs
",['Dataviz'],3,0
14,Viable Insights,"
 Mark your calendars📢Listen to our very own Deven and other awesome speakers at the AZENET Virtual Conference this Thursday!Find the details and sign up here:https://lnkd.in/g7sPfUTs
",0,4,0
15,Viable Insights,"
 Seriously, let's set something up. Even if you're not looking for a collaborative partner right now, we would still love to hear about the great work you're doing.
",0,1,0
16,Viable Insights,"
 ""Since I joined the VI team in May, I feel the most rewarding part of my work is knowing that I am making a difference in the community. Whether it is taking over a project or just doing a tiny part of a project, I know that my work is being used to make positive change.""
",0,5,0
17,Viable Insights,"
 We get it - it's difficult to stay on top of projects all while staying flexible to the changing needs and resources available for data-oriented work. That is why we decided to create Data Analyst On-Demand. This program gives you access to all of the resources and skill sets of our team for however many hours your organization needs. We are here for you!#dataanalyst
",['dataanalyst\n'],2,0
18,Viable Insights,"
 As you work to grow your program or organization, don't be afraid to ask for help. Sometimes proximity to a decision can create new barriers. An outside perspective should always be considered an option, and our team is always happy to play that part!Check out the ""How We Help"" page on our website if you're interested in learning how we can collaborate.https://lnkd.in/gs7_zkxy 
",0,2,0
19,Viable Insights,"
 ""I keep track of progress with good ol’ paper and pen. As the VI coordinator, many of my ideas/tasks are brainstormed onto a notepad that I am pretty sure nobody can understand but me. When I need to be a little more organized, I love Monday.com! Our team does a wonderful job at checking in on each other's progress, which is also super helpful to me.""
",0,3,0
20,Viable Insights,"
 Don't miss this event hosted by Arizona Evaluation Networkand register below⤵️https://lnkd.in/g7sPfUTs#Eval #AZENET
","['Eval', 'AZENET\n']",3,0
21,Viable Insights,"
 ""We’re not tied to a specific context, field, or domain, which means we get to see change across so many different areas – it’s never dull or repetitive! I’d also say that being positioned to support those doing the work is so fun. Sometimes it’s a critical question, or shining a light on a new way of doing something, or drawing attention to the impact of an organization or programming – all of which makes this work rewarding!""
",0,8,0
22,Viable Insights,"
 Think about it -- Instead of designing a project around what sounds good, or continuing a program because it has been the norm for so long, your organization should really look at what the data says. If you aren't sure how, you've come to the right place! We want to help you bring data into your organization through customized project-based consulting, one-on-one coaching, webinars and team trainings. Even better, our approach is collaborative, meaning you'll be building your skillset along the way.
",0,1,0
23,Viable Insights,"
 Wishing everyone a fun and safe 4th of July!
",0,1,0
24,Viable Insights,"
 Read part 2 of the VIRB blog series to learn more about the importance of protecting vulnerable populations in research. By partnering with VIRB, you can ensure that your research procedures prioritize the well-being of individuals that participate — regardless of available funding and timeline.
",0,1,0
25,Viable Insights,"
 Want to grab a coffee and chat about how our organizations can work together?☕
",0,5,0
26,Viable Insights,"
 Evaluation is a powerful tool to not only highlight the things you are doing well, but also identify barriers and areas of opportunity/improvement.We can guide you through this process, and help convert those areas of opportunity into strengths.
",0,4,0
27,Viable Insights,"
 So much of our practice is rooted in meeting folks where they are at. Occasionally, that means we help people figure out exactly what kind of support they need…do they need evaluation help? Strategic planning facilitation? Something else entirely? Thanks to some recently added functionality on our website homepage, this upfront process has been made a bit easier. Essentially, you can select the things that you might be interested in or need to accomplish, and those selections immediately compile a list of our services that could potentially aid in meeting your goals. Check it out, and then we can set up a time to talk about what your adventure might look like!
",0,2,0
28,Viable Insights,"
 Hey friends,Don't forget about our Data Analyst On-Demand program!We can help your organization increase its data capacity, while staying flexible to the changing needs and resources available for data-oriented work. This program gives you access to all of the resources and skill sets of our team for however many hours your organization needs.Sound like something you could benefit from? Let's talk.
",0,1,0
29,Viable Insights,"
 Do you need help with the evaluation component of your grant application? We can help you build in data and evaluation thinking from the start. Our team can help develop many of the common components of successful grant applications, including: logic models and comprehensive evaluation plans. Let's strengthen your plan and pull together a competitive application.
",0,3,0
30,Nicole Clark Consulting,"
 From food safety to understanding mental health and addiction recovery, how will you raise your voice for women and girls of color in September?Share what you're doing this month and find more awareness observances at https://lnkd.in/dqc26Vp
",0,0,0
31,Nicole Clark Consulting,"
 In an ideal situation, you wouldn't have to convince staff and board that what you want to happen matters. I'm sure it's frustration when you experience the push back. Assessing staff and board buy-in is a long-term process. Providing opportunities for stakeholder feedback AND developing an action plan may encourage that buy-in to trickle in. Read this week's blog post at https://lnkd.in/emtjxBWe Try this out and let me know how it goes for you (or if you need support).
",0,0,0
32,Nicole Clark Consulting,"
 Service Worker Reproductive Access Fund, launched by One Fair Wage, enables service workers - including restaurant, hospitality, personal service, and other tipped workers - to obtain access to family planning counseling, contraception, PAP smears, and means for travel and abortion care.Support the Service Worker Reproductive Access Fund by making a donation at https://lnkd.in/ewVXQKmA
",0,2,0
33,Nicole Clark Consulting,"
 Addressing multi-issue needs require interdisciplinary, inter-professional, and collaborative solutions. This client hired me to facilitate a year-long process that involved bringing together thought leaders and activists to envision person-centered, inclusive, and equitable contraceptive access.If you’re curious how this process can work for your next project, learning collaborative, and strategy session, let’s get started: https://lnkd.in/dG8tez5G
",0,1,0
34,Nicole Clark Consulting,"
 There are many advantages for building and sustaining a partnership. However, while everyone cares about the issue, they have their own ideas for addressing it.How can we bring together multiple viewpoints, all seeking the same goal? Read this week's blog post at  for seven questions to consider when building a partnership. #socialwork #publichealth
","['socialwork', 'publichealth\n']",3,0
35,Nicole Clark Consulting,"
 There’s a lot to think about when planning a workshop or discussion. Along with being as engaging as possible, we get caught up in delivering our message, without considering how it’ll be received. Here’s a great tool used by teachers, healthcare professionals, and social workers alike. It’s called the Teach Back method. Try this and and let me know how it goes for you.
",0,5,0
