name,text,likes,comments,hashtag,question_mark,emoji,average_length,clean_text,followers,response
"Ann Price (she, her, hers)",It's almost Q4. Is your organization ready to build the evaluation strategy you need to change your community? https://bit.ly/3QReJLn #community #change #strategy #evaluation #coalition #nonprofit,0,0,6,1,0,6.6,It's almost Q4. Is your organization ready to build the evaluation strategy you need to change your community?       ,606,0
"Ann Price (she, her, hers)","Hi everyone-

Office hours are tomorrow. Sharing the correct registration link.

https://bit.ly/3BGkO7L

Come with your Qs!

Ann",0,0,0,0,0,5.666666667,"Hi everyone-

Office hours are tomorrow. Sharing the correct registration link.



Come with your Qs!

Ann",606,0
"Ann Price (she, her, hers)","A year ago, it was only something on my vision board. Now my podcast lets me meet amazing #nonprofit #foundation and #community leaders like Jessica Nunan of Caminar Latino. Listen, be challenged and inspired.  https://communityevaluationsolutions.com/podcast",1,0,3,0,0,6.055555556,"A year ago, it was only something on my vision board. Now my podcast lets me meet amazing   and  leaders like Jessica Nunan of Caminar Latino. Listen, be challenged and inspired.  ",606,0.001650165
"Ann Price (she, her, hers)","New #podcast episode! Jessica Nunan of 
@CaminarLatino
 joined me on Community Possibilities to share their journey as  Georgia’s first and only comprehensive domestic violence intervention program for Latino families. Thank you Jessica! https://communityevaluationsolutions.com/podcast #peace #equity",0,0,3,0,0,7.45,"New  episode! Jessica Nunan of 

 joined me on Community Possibilities to share their journey as  Georgia’s first and only comprehensive domestic violence intervention program for Latino families. Thank you Jessica!   ",606,0
"Ann Price (she, her, hers)","Office hours for #new and emerging #eval #consultants this Friday at 11 AM EST. I am in the hot seat. Bring your q’s, successes, and places where you are stuck. 
Register to attend Bitly Link: https://bit.ly/3JQQYjP #evaluation #consulting #entrepreneurmind",0,0,6,0,0,5.3125,"Office hours for  and emerging   this Friday at 11 AM EST. I am in the hot seat. Bring your q’s, successes, and places where you are stuck. 
Register to attend Bitly Link:    ",606,0
"Ann Price (she, her, hers)",Sometimes you just need to start all over.,2,0,0,0,0,6,Sometimes you just need to start all over.,606,0.00330033
"Ann Price (she, her, hers)","OMG, it's really happening. Our book will be published in May in the UK (available in the US electronically) and in July in the US. We did it 
@SusanWolfeAssoc
! #community #communityengagement #communityleadership #evaluation #coalitions #communitypsychology #consulting",8,0,7,0,0,5.583333333,"OMG, it's really happening. Our book will be published in May in the UK (available in the US electronically) and in July in the US. We did it 

!       ",606,0.01320132
"Ann Price (she, her, hers)","""You make evaluation accessible"" a #coalition leader told me last week. Made. My. Day. Not sure where to start? Try my Evaluation Capacity Tool https://bit.ly/3PuPcql #evaluation #community #prevention",0,0,4,1,0,5.533333333,"""You make evaluation accessible"" a  leader told me last week. Made. My. Day. Not sure where to start? Try my Evaluation Capacity Tool    ",606,0
"Ann Price (she, her, hers)","Thank you to whoever recommened this book to me. ""Bringing a simple solution to a complex behavioral challenge almost never works."" #coalition #systemsthinking #systemschange #evaluation",3,0,4,0,0,6.923076923,"Thank you to whoever recommened this book to me. ""Bringing a simple solution to a complex behavioral challenge almost never works.""    ",606,0.004950495
"Ann Price (she, her, hers)","Thanks to our 
@aeaweb
 Summer Institute attendees who came to our follow-up session yesterday. 
@SusanWolfeAssoc
 and I loved seeing you. We had a great conversation on specific ways to measure #systemschange #partnerships #collaboration . See you at our workshop at #Eval22 in NOLA!",1,0,4,0,0,6.666666667,"Thanks to our 

 Summer Institute attendees who came to our follow-up session yesterday. 

 and I loved seeing you. We had a great conversation on specific ways to measure    . See you at our workshop at  in NOLA!",606,0.001650165
"Ann Price (she, her, hers)",Yes please!,1,0,0,0,0,4.5,Yes please!,606,0.001650165
"Ann Price (she, her, hers)","Is evaluation chore that thing that you, #nonprofit #coalition can't get to? I get it. Read the full blog here: https://bit.ly/3eBeOFc #evaluation #keepitsimple",1,0,4,1,0,4.666666667,"Is evaluation chore that thing that you,   can't get to? I get it. Read the full blog here:   ",606,0.001650165
"Ann Price (she, her, hers)","Made my day to hear this on my walk this morning. Yay and welcome back! and thanks for the shout out 
@c_camman
 and 
@StrongRoots_SK",5,0,0,0,0,4.7,"Made my day to hear this on my walk this morning. Yay and welcome back! and thanks for the shout out 

 and 
",606,0.008250825
"Ann Price (she, her, hers)",One of my workshop attendees last week asked me how to move their coalition from “just meeting” to accomplishing work. Great question! Here are 3 tips for you. Curious? Check out my new blog. #Coalitions #collaboratives #systemschange https://communityevaluationsolutions.com/blog,1,0,3,1,0,5.888888889,One of my workshop attendees last week asked me how to move their coalition from “just meeting” to accomplishing work. Great question! Here are 3 tips for you. Curious? Check out my new blog.    ,606,0.001650165
"Ann Price (she, her, hers)","Office hours for #new and emerging #eval #consultants this Friday at 11 AM EST. Bring your q’s, successes, and places where you are stuck. 

Register to attend Bitly Link: https://bit.ly/3JQQYjP #evaluation #consulting #entrepreneurmind",2,0,6,0,0,5.571428571,"Office hours for  and emerging   this Friday at 11 AM EST. Bring your q’s, successes, and places where you are stuck. 

Register to attend Bitly Link:    ",606,0.00330033
"Ann Price (she, her, hers)","Calling all my #eval friends. My biz coach, Tracey Snoyer has a new coaching program just for us. Tracey has been my coach for the last 1 1/2 years and helped me make a major shift. Here is the link for more information: https://cascadeall.com/october-2022-evaluators-group.html… 
Feel free to DM me.",1,0,1,0,0,5.173913043,"Calling all my  friends. My biz coach, Tracey Snoyer has a new coaching program just for us. Tracey has been my coach for the last 1 1/2 years and helped me make a major shift. Here is the link for more information:  
Feel free to DM me.",606,0.001650165
"Ann Price (she, her, hers)",NO Office hours THIS Friday. But will see you on 9/9 at 11 AM EST.,1,0,0,0,0,4.6,NO Office hours THIS Friday. But will see you on 9/9 at 11 AM EST.,606,0.001650165
"Ann Price (she, her, hers)",It’s a wrap. Grateful for engaging participants. Teaching building strong coalitions at #GSAS2022. #coalitions #evaluation #community,1,0,4,0,0,8,It’s a wrap. Grateful for engaging participants. Teaching building strong coalitions at .   ,606,0.001650165
"Ann Price (she, her, hers)",Excited to be attending and presenting at the GA School of Addition Studies. Addiction is a series medical condition.  #prevention works. #recovery is possible. #gapol #garecovers #GSA2022,0,0,5,0,0,7.153846154,Excited to be attending and presenting at the GA School of Addition Studies. Addiction is a series medical condition.   works.  is possible.   ,606,0
"Ann Price (she, her, hers)",Looking forward to seeing prevention specialists from all over Georgia at the Georgia School of Addiction Studies next week in Savannah. Join me for a dynamic workshop on Building Strong https://thegeorgiaschool.org  #Coalitions #substanceabuseawareness #preventionsaveslives,0,0,3,0,0,7,Looking forward to seeing prevention specialists from all over Georgia at the Georgia School of Addiction Studies next week in Savannah. Join me for a dynamic workshop on Building Strong     ,606,0
Viable Insights,"With Ann and her Simple Spreadsheets course, you'll master a step-by-step process for exploring, cleaning, analyzing, and tabulating your dataset. These spreadsheet skills will save your time, energy, and sanity. Register today by clicking the link below!
https://depictdatastudio.teachable.com/?affcode=202644_ctikeudw…",3,0,0,1,0,6.956521739,"With Ann and her Simple Spreadsheets course, you'll master a step-by-step process for exploring, cleaning, analyzing, and tabulating your dataset. These spreadsheet skills will save your time, energy, and sanity. Register today by clicking the link below!
",189,0.015873016
