name,text,likes,comments,hashtag,question_mark,emoji,average_length,clean_text,followers,response
nonprofitist,"Looking for the right expert to help your nonprofit succeed? Nonprofit.ist can help. Sign up for your free nonprofit account to start searching for trusted consultants today! --> https://www.nonprofit.ist/joinnonprofit

#nonprofit #nonprofitconsulting",2,0,2,1,0,6.764705882,"Looking for the right expert to help your nonprofit succeed? Nonprofit.ist can help. Sign up for your free nonprofit account to start searching for trusted consultants today! --> 

 ",241,0.008298755
nonprofitist,"If you're dreading hybrid meetings, Nonprofit.ist expert Meredith Emmett from Third Space Studio has tips on how you can make them work for your team.

#nonprofit #nonprofitconsulting #meetings

NONPROFIT.IST
Dreading Hybrid Meetings? You CAN Make Them Better",5,0,3,1,0,6.428571429,"If you're dreading hybrid meetings, Nonprofit.ist expert Meredith Emmett from Third Space Studio has tips on how you can make them work for your team.

  

NONPROFIT.IST
Dreading Hybrid Meetings? You CAN Make Them Better",241,0.020746888
nonprofitist,"What happens when your executive director leaves? If you don't have a plan in place, you should. That's where executive transition consultants come in. Sign up for your free nonprofit account to connect with one of them! --> https://www.nonprofit.ist/expert/executive-transition

#nonprofit #nonprofitleadership #nonprofitconsulting",1,0,3,1,0,6.444444444,"What happens when your executive director leaves? If you don't have a plan in place, you should. That's where executive transition consultants come in. Sign up for your free nonprofit account to connect with one of them! --> 

  ",241,0.004149378
nonprofitist,"Looking for Nonprofit.ist's articles that can help you find success in working with consultants as well as our toolkits? Check out our nonprofit resource page --> https://www.nonprofit.ist/npresources

#nonprofit #nonprofitconsulting #nonprofitmanagement",1,0,3,1,0,7.071428571,"Looking for Nonprofit.ist's articles that can help you find success in working with consultants as well as our toolkits? Check out our nonprofit resource page --> 

  ",241,0.004149378
nonprofitist,"I am SO thrilled to be partnering with Nonprofitist to present the Consulting for Change workshop series and group coaching program!

I have been working with folks on building their business like they give a damn for years and I love helping others discover how to align their values with their actions. There is also something magical about the group setting - new insights emerge when we are rooted in camaraderie.

To learn more and register: https://www.eventbrite.com/e/consulting-for-change-build-your-business-like-you-give-a-damn-registration-151000637973",2,0,0,0,0,6.684210526,"I am SO thrilled to be partnering with Nonprofitist to present the Consulting for Change workshop series and group coaching program!

I have been working with folks on building their business like they give a damn for years and I love helping others discover how to align their values with their actions. There is also something magical about the group setting - new insights emerge when we are rooted in camaraderie.

To learn more and register: ",241,0.008298755
nonprofitist,"Have you downloaded our free Nonprofit Success Toolkit? Filled with resources from Nonprofit.ist experts, you'll get tools to help your nonprofit be successful! Get it now --> https://www.nonprofit.ist/toolkit

#nonprofit #nonprofitconsulting #nonprofitmanagement #nonprofitleadership #nonprofits #nonprofitorganization",1,0,6,1,0,6.875,"Have you downloaded our free Nonprofit Success Toolkit? Filled with resources from Nonprofit.ist experts, you'll get tools to help your nonprofit be successful! Get it now --> 

     ",241,0.004149378
nonprofitist,"Do you give a damn? Join me and Nonprofitist for this unique workshop series and group coaching program.

Business can be used to create flourishing in the world: flourishing for our clients, our society and the environment, and for ourselves. We can do good work in the world without compromising our values or relying upon systems and structures that cause harm.

Nonprofit.ist and Allgood Strategies have teamed up to present Consulting for Change: Building Your Business Like You Give a Damn, a unique workshop series and group coaching program. This program is intended to be a deep dive into aligning values with actions and creating consulting businesses that create real change in the world. This program provides training and support for individuals who are either starting or growing a consultancy or solopreneur business.

Who’s the right fit: This program is designed for folks who give a damn - the ones who care deeply about their impact in the world and want to live their values through their consulting work.

What’s included: This workshop series comes with a handbook and three group coaching sessions.

What’s the investment: $699 (Nonprofit.ist members receive a $100 discount!)

What’s the time commitment*:
June 1, (2:00-4:30pm): Building Your Foundation: Vision, Values, and Theory of Change
June 8, 2021 (2:00-4:30pm): Conscientious Consulting: Business Practices for Change
June 15, 2021 (2:00-4:30pm): Authentic Communication: Connecting for Change
June 29, 2021 (2:00-3:00pm): Group Coaching Session #1
July 27, 2021 (2:00-3:00pm): Group Coaching Session #2
August 24, 2021 (2:00-3:00pm): Group Coaching Session #3
Detailed workshop descriptions can be found here
*All times are EST

Each session will take place via Zoom. A calendar invite with the Zoom link will be sent within 24 hours of registration.

Please let me know if you have any questions!

Learn more and register: http://bit.ly/consultingforchange",1,0,3,1,0,6.505813953,"Do you give a damn? Join me and Nonprofitist for this unique workshop series and group coaching program.

Business can be used to create flourishing in the world: flourishing for our clients, our society and the environment, and for ourselves. We can do good work in the world without compromising our values or relying upon systems and structures that cause harm.

Nonprofit.ist and Allgood Strategies have teamed up to present Consulting for Change: Building Your Business Like You Give a Damn, a unique workshop series and group coaching program. This program is intended to be a deep dive into aligning values with actions and creating consulting businesses that create real change in the world. This program provides training and support for individuals who are either starting or growing a consultancy or solopreneur business.

Who’s the right fit: This program is designed for folks who give a damn - the ones who care deeply about their impact in the world and want to live their values through their consulting work.

What’s included: This workshop series comes with a handbook and three group coaching sessions.

What’s the investment: $699 (Nonprofit.ist members receive a $100 discount!)

What’s the time commitment*:
June 1, (2:00-4:30pm): Building Your Foundation: Vision, Values, and Theory of Change
June 8, 2021 (2:00-4:30pm): Conscientious Consulting: Business Practices for Change
June 15, 2021 (2:00-4:30pm): Authentic Communication: Connecting for Change
June 29, 2021 (2:00-3:00pm): Group Coaching Session 
July 27, 2021 (2:00-3:00pm): Group Coaching Session 
August 24, 2021 (2:00-3:00pm): Group Coaching Session 
Detailed workshop descriptions can be found here
*All times are EST

Each session will take place via Zoom. A calendar invite with the Zoom link will be sent within 24 hours of registration.

Please let me know if you have any questions!

Learn more and register: ",241,0.004149378
nonprofitist,"Are you a consultant who gives a damn? Nonprofit.ist and
Allgood Strategies are teaming up to present ""Consulting for Change: Building Your Business Like You Give a Damn,"" a unique workshop series and group coaching program. Click the link to learn more and register now. Nonprofit.ist experts - check the LinkedIn group or email Kate (kate@nonprofit.ist) for the promo code to get $100 off the registration price.

#nonprofit #nonprofitconsulting #nonprofitconsultant #coaching

EVENTBRITE.COM
Consulting for Change: Build Your Business Like You Give a Damn",1,0,4,1,0,6.608695652,"Are you a consultant who gives a damn? Nonprofit.ist and
Allgood Strategies are teaming up to present ""Consulting for Change: Building Your Business Like You Give a Damn,"" a unique workshop series and group coaching program. Click the link to learn more and register now. Nonprofit.ist experts - check the LinkedIn group or email Kate (kate.ist) for the promo code to get $100 off the registration price.

   

EVENTBRITE.COM
Consulting for Change: Build Your Business Like You Give a Damn",241,0.004149378
nonprofitist,"Join Nonprofit.ist expert Erin Spencer from EdgeBrook Lane Consulting for a free webinar on March 24 looking at employee vs contractor classifications.

EVENTBRITE.COM
Team Structure: W-2 Employee or 1099 Subcontractor?

EdgeBrook Lane Consulting
March 10, 2021 at 5:08 PM ·

Only 2 weeks left to register for our free webinar covering classification of W-2 Employees vs. 1099 Contractors. Visit the link below to register!",1,0,0,1,0,6.87804878,"Join Nonprofit.ist expert Erin Spencer from EdgeBrook Lane Consulting for a free webinar on March 24 looking at employee vs contractor classifications.

EVENTBRITE.COM
Team Structure: W-2 Employee or 1099 Subcontractor?

EdgeBrook Lane Consulting
March 10, 2021 at 5:08 PM ·

Only 2 weeks left to register for our free webinar covering classification of W-2 Employees vs. 1099 Contractors. Visit the link below to register!",241,0.004149378
nonprofitist,"Less than two weeks away from this great webinar. Have you registered?

EVENTBRITE.COM
Consultants Advancing Racial Equity: Lessons & Strategies from the Field",0,0,0,1,0,7,"Less than two weeks away from this great webinar. Have you registered?

EVENTBRITE.COM
Consultants Advancing Racial Equity: Lessons & Strategies from the Field",241,0
