Unnamed: 0,name,text,hashtags,likes,comments,hashtag,question_mark,emoji,average_length,clean_text,corpus,word_count,response,log_plus1,log
0,Viable Insights,"
 Have you read the VIRB blog series? Phil has been doing an awesome job writing about research ethics, and you can find it all right on our blog page. https://lnkd.in/gHc6DqY4Don’t forget to scroll through the VIRB page on our website if you haven’t already - especially if you have a project coming up that requires approval from an Institutional Review Board. By doing so, you can ensure that your research procedures prioritize the well-being of individuals that participate. Plus, all our IRB reviews are conducted at an accessible price point. Not sure if you need an IRB review? Let's chat.
",0,1,0,0,2,0,6.244897959183674,"
 have you read the virb blog series phil has been doing an awesome job writing about research ethics and you can find it all right on our blog page forget to scroll through the virb page on our website if you havent already  especially if you have a project coming up that requires approval from an institutional review board by doing so you can ensure that your research procedures prioritize the wellbeing of individuals that participate plus all our irb reviews are conducted at an accessible price point not sure if you need an irb review lets chat
","['read', 'virb', 'blog', 'series', 'phil', 'awesome', 'job', 'writing', 'research', 'ethics', 'find', 'right', 'blog', 'page', 'forget', 'scroll', 'virb', 'page', 'website', 'havent', 'already', 'especially', 'project', 'coming', 'requires', 'approval', 'institutional', 'review', 'board', 'ensure', 'research', 'procedures', 'prioritize', 'wellbeing', 'individuals', 'participate', 'plus', 'irb', 'reviews', 'conducted', 'accessible', 'price', 'point', 'sure', 'need', 'irb', 'review', 'lets', 'chat', 'read', 'virb', 'blog', 'series', 'phil', 'awesome', 'job', 'writing', 'research', 'ethics', 'find', 'right', 'blog', 'page', 'forget', 'scroll', 'virb', 'page', 'website', 'havent', 'already', 'especially', 'project', 'coming', 'requires', 'approval', 'institutional', 'review', 'board', 'ensure', 'research', 'procedures', 'prioritize', 'wellbeing', 'individuals', 'participate', 'plus', 'irb', 'reviews', 'conducted', 'accessible', 'price', 'point', 'sure', 'need', 'irb', 'review', 'lets', 'chat']",98,1,0.6931471805599453,0.0
1,Viable Insights,"
 We’re here to support your grant-writing efforts. We want to see your impactful work move forward, and we know a big part of that is identifying and winning funds to start or continue your initiative. Evaluation plan development is often where we shine in the grant writing process. We can help you set objectives, identify ways to measure your impact, and  establish an implementation plan for your goals  — all of these elements increase the competitiveness of your application or proposal. Interested in upping your grant or funding game? Let’s chat. 
",0,1,0,0,1,0,6.775510204081633,"
 were here to support your grantwriting efforts we want to see your impactful work move forward and we know a big part of that is identifying and winning funds to start or continue your initiative evaluation plan development is often where we shine in the grant writing process we can help you set objectives identify ways to measure your impact and  establish an implementation plan for your goals   all of these elements increase the competitiveness of your application or proposal interested in upping your grant or funding game lets chat
","['support', 'grantwriting', 'efforts', 'want', 'see', 'impactful', 'work', 'move', 'forward', 'know', 'big', 'part', 'identifying', 'winning', 'funds', 'start', 'continue', 'initiative', 'evaluation', 'plan', 'development', 'often', 'shine', 'grant', 'writing', 'process', 'help', 'set', 'objectives', 'identify', 'ways', 'measure', 'impact', 'establish', 'implementation', 'plan', 'goals', 'elements', 'increase', 'competitiveness', 'application', 'proposal', 'interested', 'upping', 'grant', 'funding', 'game', 'lets', 'chat', 'support', 'grantwriting', 'efforts', 'want', 'see', 'impactful', 'work', 'move', 'forward', 'know', 'big', 'part', 'identifying', 'winning', 'funds', 'start', 'continue', 'initiative', 'evaluation', 'plan', 'development', 'often', 'shine', 'grant', 'writing', 'process', 'help', 'set', 'objectives', 'identify', 'ways', 'measure', 'impact', 'establish', 'implementation', 'plan', 'goals', 'elements', 'increase', 'competitiveness', 'application', 'proposal', 'interested', 'upping', 'grant', 'funding', 'game', 'lets', 'chat']",98,1,0.6931471805599453,0.0
2,Viable Insights,"
 If you are ready to use data in your day-to-day work, but don't quite have the infrastructure or organizational buy-in to make it happen, we can help!We will work with you to develop processes and even databases to help your team share and ultimately use data more effectively in your work.
",0,1,0,0,0,0,6.153846153846154,"
 if you are ready to use data in your daytoday work but dont quite have the infrastructure or organizational buyin to make it happen we can helpwe will work with you to develop processes and even databases to help your team share and ultimately use data more effectively in your work
","['ready', 'use', 'data', 'daytoday', 'work', 'dont', 'quite', 'infrastructure', 'organizational', 'buyin', 'make', 'happen', 'helpwe', 'work', 'develop', 'processes', 'even', 'databases', 'help', 'team', 'share', 'ultimately', 'use', 'data', 'effectively', 'work', 'ready', 'use', 'data', 'daytoday', 'work', 'dont', 'quite', 'infrastructure', 'organizational', 'buyin', 'make', 'happen', 'helpwe', 'work', 'develop', 'processes', 'even', 'databases', 'help', 'team', 'share', 'ultimately', 'use', 'data', 'effectively', 'work']",52,1,0.6931471805599453,0.0
3,Viable Insights,"
 Our Data Analyst On-Demand program isn’t new, however, we have come up with a new way of describing this service to our partners. Typically, projects (and ultimately their budgets) are strictly aligned a pre-determined scope of work. The beauty of a buckets-of-hours🪣 approach is that you don’t necessarily need to spell out every little detail on the front end. Instead, you can decide to dedicate X hours this week/month/year to your evaluation or org development work, and then we can work with you to allocate/prioritize those hours in real-time. This enables your organization be a bit more agile, while also increasing your capacity to engage in important evaluation and development work. Sound like something you would be interested in? Let’s chat!
",0,1,0,0,1,1,6.8059701492537314,"
 our data analyst ondemand program isnt new however we have come up with a new way of describing this service to our partners typically projects and ultimately their budgets are strictly aligned a predetermined scope of work the beauty of a bucketsofhours approach is that you dont necessarily need to spell out every little detail on the front end instead you can decide to dedicate x hours this weekmonthyear to your evaluation or org development work and then we can work with you to allocateprioritize those hours in realtime this enables your organization be a bit more agile while also increasing your capacity to engage in important evaluation and development work sound like something you would be interested in lets chat
","['data', 'analyst', 'ondemand', 'program', 'isnt', 'new', 'however', 'come', 'new', 'way', 'describing', 'service', 'partners', 'typically', 'projects', 'ultimately', 'budgets', 'strictly', 'aligned', 'predetermined', 'scope', 'work', 'beauty', 'bucketsofhours', 'approach', 'dont', 'necessarily', 'need', 'spell', 'every', 'little', 'detail', 'front', 'end', 'instead', 'decide', 'dedicate', 'x', 'hours', 'weekmonthyear', 'evaluation', 'org', 'development', 'work', 'work', 'allocateprioritize', 'hours', 'realtime', 'enables', 'organization', 'bit', 'agile', 'also', 'increasing', 'capacity', 'engage', 'important', 'evaluation', 'development', 'work', 'sound', 'like', 'something', 'would', 'interested', 'lets', 'chat', 'data', 'analyst', 'ondemand', 'program', 'isnt', 'new', 'however', 'come', 'new', 'way', 'describing', 'service', 'partners', 'typically', 'projects', 'ultimately', 'budgets', 'strictly', 'aligned', 'predetermined', 'scope', 'work', 'beauty', 'bucketsofhours', 'approach', 'dont', 'necessarily', 'need', 'spell', 'every', 'little', 'detail', 'front', 'end', 'instead', 'decide', 'dedicate', 'x', 'hours', 'weekmonthyear', 'evaluation', 'org', 'development', 'work', 'work', 'allocateprioritize', 'hours', 'realtime', 'enables', 'organization', 'bit', 'agile', 'also', 'increasing', 'capacity', 'engage', 'important', 'evaluation', 'development', 'work', 'sound', 'like', 'something', 'would', 'interested', 'lets', 'chat']",134,1,0.6931471805599453,0.0
4,Viable Insights,"
 Nothing makes us feel better and more energized for this work than hearing the stories of our partners!
",0,2,0,0,0,0,5.9,"
 nothing makes us feel better and more energized for this work than hearing the stories of our partners
","['nothing', 'makes', 'us', 'feel', 'better', 'energized', 'work', 'hearing', 'stories', 'partners', 'nothing', 'makes', 'us', 'feel', 'better', 'energized', 'work', 'hearing', 'stories', 'partners']",20,2,1.0986122886681098,0.6931471805599453
5,Viable Insights,"
 We see you and we appreciate you for all of your hard work.Happy Labor Day!
",0,2,0,0,0,0,5.666666666666667,"
 we see you and we appreciate you for all of your hard workhappy labor day
","['see', 'appreciate', 'hard', 'workhappy', 'labor', 'day', 'see', 'appreciate', 'hard', 'workhappy', 'labor', 'day']",12,2,1.0986122886681098,0.6931471805599453
6,Viable Insights,"
 You can read all about incentivizing participation in research in part 3 of the VIRB blog series today!https://lnkd.in/gyuk9kan
",0,3,0,0,0,0,6.777777777777778,"
 you can read all about incentivizing participation in research in part  of the virb blog series today
","['read', 'incentivizing', 'participation', 'research', 'part', 'virb', 'blog', 'series', 'today', 'read', 'incentivizing', 'participation', 'research', 'part', 'virb', 'blog', 'series', 'today']",18,3,1.3862943611198906,1.0986122886681098
7,Viable Insights,"
 For many organizations, data management takes place in spreadsheets or online survey platforms. This, however, isn’t always the optimal way to organize and maintain data – especially when you are talking about large amounts of data or data that is being used by multiple departments or even organizations. In those instances, having an optimized database can be a game changer. Viable Insights has helped several organizations enhance their data capacity, by developing intuitive databases from the ground up. These enable organizations to  house, share, and ultimately use their data more effectively.Interested in learning what this process might look like? Check out the following case study.https://lnkd.in/gKpwcZmm
",0,1,0,0,1,0,7.079365079365079,"
 for many organizations data management takes place in spreadsheets or online survey platforms this however isnt always the optimal way to organize and maintain data  especially when you are talking about large amounts of data or data that is being used by multiple departments or even organizations in those instances having an optimized database can be a game changer viable insights has helped several organizations enhance their data capacity by developing intuitive databases from the ground up these enable organizations to  house share and ultimately use their data more effectivelyinterested in learning what this process might look like check out the following case study
","['many', 'organizations', 'data', 'management', 'takes', 'place', 'spreadsheets', 'online', 'survey', 'platforms', 'however', 'isnt', 'always', 'optimal', 'way', 'organize', 'maintain', 'data', 'especially', 'talking', 'large', 'amounts', 'data', 'data', 'used', 'multiple', 'departments', 'even', 'organizations', 'instances', 'optimized', 'database', 'game', 'changer', 'viable', 'insights', 'helped', 'several', 'organizations', 'enhance', 'data', 'capacity', 'developing', 'intuitive', 'databases', 'ground', 'enable', 'organizations', 'house', 'share', 'ultimately', 'use', 'data', 'effectivelyinterested', 'learning', 'process', 'might', 'look', 'like', 'check', 'following', 'case', 'study', 'many', 'organizations', 'data', 'management', 'takes', 'place', 'spreadsheets', 'online', 'survey', 'platforms', 'however', 'isnt', 'always', 'optimal', 'way', 'organize', 'maintain', 'data', 'especially', 'talking', 'large', 'amounts', 'data', 'data', 'used', 'multiple', 'departments', 'even', 'organizations', 'instances', 'optimized', 'database', 'game', 'changer', 'viable', 'insights', 'helped', 'several', 'organizations', 'enhance', 'data', 'capacity', 'developing', 'intuitive', 'databases', 'ground', 'enable', 'organizations', 'house', 'share', 'ultimately', 'use', 'data', 'effectivelyinterested', 'learning', 'process', 'might', 'look', 'like', 'check', 'following', 'case', 'study']",126,1,0.6931471805599453,0.0
8,Viable Insights,"
 Although Viable Insights is a Tucson-based organization, our work extends far beyond the boarders of Arizona. We have effectively partnered with organizations across the U.S., and are confident we can help your team regardless of where you are geographically.🌎Let's set up a time to talk about how our teams can work together.
",0,4,0,0,0,1,7.185185185185185,"
 although viable insights is a tucsonbased organization our work extends far beyond the boarders of arizona we have effectively partnered with organizations across the us and are confident we can help your team regardless of where you are geographicallylets set up a time to talk about how our teams can work together
","['although', 'viable', 'insights', 'tucsonbased', 'organization', 'work', 'extends', 'far', 'beyond', 'boarders', 'arizona', 'effectively', 'partnered', 'organizations', 'across', 'us', 'confident', 'help', 'team', 'regardless', 'geographicallylets', 'set', 'time', 'talk', 'teams', 'work', 'together', 'although', 'viable', 'insights', 'tucsonbased', 'organization', 'work', 'extends', 'far', 'beyond', 'boarders', 'arizona', 'effectively', 'partnered', 'organizations', 'across', 'us', 'confident', 'help', 'team', 'regardless', 'geographicallylets', 'set', 'time', 'talk', 'teams', 'work', 'together']",54,4,1.6094379124341003,1.3862943611198906
9,Viable Insights,"
 Part 3 of the VIRB blog series, ""Should you Incentivize Participation in Research?"" is out! https://lnkd.in/gyuk9kan
",0,1,0,0,1,0,7.142857142857143,"
 part  of the virb blog series should you incentivize participation in research is out 
","['part', 'virb', 'blog', 'series', 'incentivize', 'participation', 'research', 'part', 'virb', 'blog', 'series', 'incentivize', 'participation', 'research']",14,1,0.6931471805599453,0.0
10,Viable Insights,"
 #Evaluation is a powerful tool to not only highlight the things you are doing well, but also identify barriers and areas of opportunity/improvement.We can guide you through this process, and help convert those areas of opportunity into strengths.Let's get started!
",['Evaluation'],1,0,1,0,0,7.473684210526316,"
  is a powerful tool to not only highlight the things you are doing well but also identify barriers and areas of opportunityimprovementwe can guide you through this process and help convert those areas of opportunity into strengthslets get started
","['powerful', 'tool', 'highlight', 'things', 'well', 'also', 'identify', 'barriers', 'areas', 'opportunityimprovementwe', 'guide', 'process', 'help', 'convert', 'areas', 'opportunity', 'strengthslets', 'get', 'started', 'powerful', 'tool', 'highlight', 'things', 'well', 'also', 'identify', 'barriers', 'areas', 'opportunityimprovementwe', 'guide', 'process', 'help', 'convert', 'areas', 'opportunity', 'strengthslets', 'get', 'started']",38,1,0.6931471805599453,0.0
11,Viable Insights,"
 Your people are the most important aspect of your organization. They put ideas into action, bring your services and programs to life, and create your organization’s unique culture. 🙌The structure of your organization is integral to the effectiveness of your people and the quality of your work. Through leadership best practices, psychology-based principles, and interpersonal understanding, we’ll help you make the personnel changes necessary to elevate your organization and empower your people. Reach out today if you are interested in learning how we can help your organization level-up.
",0,1,0,0,0,1,7.760869565217392,"
 your people are the most important aspect of your organization they put ideas into action bring your services and programs to life and create your organizations unique culture the structure of your organization is integral to the effectiveness of your people and the quality of your work through leadership best practices psychologybased principles and interpersonal understanding well help you make the personnel changes necessary to elevate your organization and empower your people reach out today if you are interested in learning how we can help your organization levelup
","['people', 'important', 'aspect', 'organization', 'put', 'ideas', 'action', 'bring', 'services', 'programs', 'life', 'create', 'organizations', 'unique', 'culture', 'structure', 'organization', 'integral', 'effectiveness', 'people', 'quality', 'work', 'leadership', 'best', 'practices', 'psychologybased', 'principles', 'interpersonal', 'understanding', 'well', 'help', 'make', 'personnel', 'changes', 'necessary', 'elevate', 'organization', 'empower', 'people', 'reach', 'today', 'interested', 'learning', 'help', 'organization', 'levelup', 'people', 'important', 'aspect', 'organization', 'put', 'ideas', 'action', 'bring', 'services', 'programs', 'life', 'create', 'organizations', 'unique', 'culture', 'structure', 'organization', 'integral', 'effectiveness', 'people', 'quality', 'work', 'leadership', 'best', 'practices', 'psychologybased', 'principles', 'interpersonal', 'understanding', 'well', 'help', 'make', 'personnel', 'changes', 'necessary', 'elevate', 'organization', 'empower', 'people', 'reach', 'today', 'interested', 'learning', 'help', 'organization', 'levelup']",92,1,0.6931471805599453,0.0
12,Viable Insights,"
 Did you Viable Insights regularly collaborates with our non-profit partners to help them pursue funding opportunities? Now you do! Our team can help develop many of the common components of successful grant applications, including: logic models and comprehensive evaluation plans. If your organization is interested in grant-seeking, let's talk.
",0,3,0,0,1,0,7.8,"
 did you viable insights regularly collaborates with our nonprofit partners to help them pursue funding opportunities now you do our team can help develop many of the common components of successful grant applications including logic models and comprehensive evaluation plans if your organization is interested in grantseeking lets talk
","['viable', 'insights', 'regularly', 'collaborates', 'nonprofit', 'partners', 'help', 'pursue', 'funding', 'opportunities', 'team', 'help', 'develop', 'many', 'common', 'components', 'successful', 'grant', 'applications', 'including', 'logic', 'models', 'comprehensive', 'evaluation', 'plans', 'organization', 'interested', 'grantseeking', 'lets', 'talk', 'viable', 'insights', 'regularly', 'collaborates', 'nonprofit', 'partners', 'help', 'pursue', 'funding', 'opportunities', 'team', 'help', 'develop', 'many', 'common', 'components', 'successful', 'grant', 'applications', 'including', 'logic', 'models', 'comprehensive', 'evaluation', 'plans', 'organization', 'interested', 'grantseeking', 'lets', 'talk']",60,3,1.3862943611198906,1.0986122886681098
13,Viable Insights,"
 Join Deven Wisner for a discussion on current trends in #Dataviz  on Thurs. Aug 11th. Mark your calendars and register here: https://lnkd.in/g7sPfUTs
",['Dataviz'],3,0,1,0,0,5.75,"
 join deven wisner for a discussion on current trends in   on thurs aug th mark your calendars and register here 
","['join', 'deven', 'wisner', 'discussion', 'current', 'trends', 'thurs', 'aug', 'th', 'mark', 'calendars', 'register', 'join', 'deven', 'wisner', 'discussion', 'current', 'trends', 'thurs', 'aug', 'th', 'mark', 'calendars', 'register']",24,3,1.3862943611198906,1.0986122886681098
14,Viable Insights,"
 Mark your calendars📢Listen to our very own Deven and other awesome speakers at the AZENET Virtual Conference this Thursday!Find the details and sign up here:https://lnkd.in/g7sPfUTs
",0,4,0,0,0,1,7.7272727272727275,"
 mark your calendarslisten to our very own deven and other awesome speakers at the azenet virtual conference this thursdayfind the details and sign up here
","['mark', 'calendarslisten', 'deven', 'awesome', 'speakers', 'azenet', 'virtual', 'conference', 'thursdayfind', 'details', 'sign', 'mark', 'calendarslisten', 'deven', 'awesome', 'speakers', 'azenet', 'virtual', 'conference', 'thursdayfind', 'details', 'sign']",22,4,1.6094379124341003,1.3862943611198906
15,Viable Insights,"
 Seriously, let's set something up. Even if you're not looking for a collaborative partner right now, we would still love to hear about the great work you're doing.
",0,1,0,0,0,0,5.764705882352941,"
 seriously lets set something up even if youre not looking for a collaborative partner right now we would still love to hear about the great work youre doing
","['seriously', 'lets', 'set', 'something', 'even', 'youre', 'looking', 'collaborative', 'partner', 'right', 'would', 'still', 'love', 'hear', 'great', 'work', 'youre', 'seriously', 'lets', 'set', 'something', 'even', 'youre', 'looking', 'collaborative', 'partner', 'right', 'would', 'still', 'love', 'hear', 'great', 'work', 'youre']",34,1,0.6931471805599453,0.0
